Age (years),ICV male (mL),ICV female (mL)
0,377.81,333.93
0.1,492.62,439.45
0.2,586.68,526.1
0.3,658.18,592.66
0.4,714.82,644.94
0.5,761.33,687.61
0.6,800.37,723.81
0.7,833.96,755
0.8,863.58,782.49
0.9,889.94,806.99
1,913.71,829.14
1.1,935.32,849.18
1.2,955.12,867.61
1.3,973.43,884.56
1.4,990.44,900.29
1.5,1006.18,914.92
1.6,1020.93,928.58
1.7,1034.78,941.4
1.8,1047.78,953.42
1.9,1060.07,964.81
2,1071.71,975.54
2.1,1082.75,985.67
2.2,1093.22,995.27
2.3,1103.19,1004.41
2.4,1112.68,1013.08
2.5,1121.74,1021.35
2.6,1130.44,1029.23
2.7,1138.67,1036.77
2.8,1146.58,1044
2.9,1154.15,1050.9
3,1161.43,1057.47
3.1,1168.43,1063.78
3.2,1175.08,1069.86
3.3,1181.54,1075.68
3.4,1187.74,1081.25
3.5,1193.74,1086.63
3.6,1199.51,1091.78
3.7,1205.08,1096.74
3.8,1210.46,1101.51
3.9,1215.64,1106.09
4,1220.66,1110.51
4.1,1225.5,1114.78
4.2,1230.11,1118.87
4.3,1234.54,1122.83
4.4,1238.85,1126.63
4.5,1243.06,1130.28
4.6,1247.11,1133.83
4.7,1251.05,1137.24
4.8,1254.79,1140.5
4.9,1258.45,1143.66
5,1261.99,1146.72
5.1,1265.38,1149.66
5.2,1268.67,1152.49
5.3,1271.85,1155.2
5.4,1274.91,1157.85
5.5,1277.9,1160.39
5.6,1280.78,1162.81
5.7,1283.63,1165.16
5.8,1286.32,1167.47
5.9,1288.94,1169.66
6,1291.52,1171.77
6.1,1293.98,1173.79
6.2,1296.36,1175.74
6.3,1298.66,1177.62
6.4,1300.84,1179.44
6.5,1303.01,1181.18
6.6,1305.09,1182.86
6.7,1307.1,1184.48
6.8,1309.02,1186
6.9,1310.9,1187.52
7,1312.75,1188.93
7.1,1314.51,1190.29
7.2,1316.19,1191.59
7.3,1317.81,1192.85
7.4,1319.41,1194.04
7.5,1320.95,1195.17
7.6,1322.42,1196.26
7.7,1323.85,1197.32
7.8,1325.19,1198.32
7.9,1326.51,1199.25
8,1327.73,1200.13
8.1,1328.93,1200.99
8.2,1330.07,1201.78
8.3,1331.17,1202.55
8.4,1332.23,1203.27
8.5,1333.23,1203.92
8.6,1334.19,1204.58
8.7,1335.09,1205.18
8.8,1335.99,1205.7
8.9,1336.84,1206.2
9,1337.66,1206.69
9.1,1338.44,1207.14
9.2,1339.19,1207.57
9.3,1339.92,1207.95
9.4,1340.59,1208.28
9.5,1341.23,1208.59
9.6,1341.82,1208.84
9.7,1342.41,1209.08
9.8,1342.95,1209.32
9.9,1343.43,1209.47
10,1343.88,1209.62
