Age (years),Frontal bone male (mm^2),Frontal bone female (mm^2),Parietal bone male (mm^2),Parietal bone female (mm^2),Occipital bone male (mm^2),Occipital bone female (mm^2)
0,44.91,40.71,149.76,139.19,40.34,36.87
0.1,53.96,49.24,173.16,161.73,48.4,44.58
0.2,61.15,56.05,191.07,178.98,54.75,50.68
0.3,66.56,61.18,204.22,191.65,59.48,55.25
0.4,70.79,65.21,214.37,201.42,63.17,58.82
0.5,74.24,68.49,222.58,209.31,66.16,61.72
0.6,77.14,71.25,229.46,215.91,68.67,64.16
0.7,79.64,73.63,235.36,221.57,70.83,66.27
0.8,81.82,75.71,240.53,226.51,72.72,68.11
0.9,83.76,77.56,245.12,230.89,74.4,69.75
1,85.51,79.22,249.25,234.82,75.9,71.22
1.1,87.09,80.73,252.98,238.38,77.26,72.55
1.2,88.53,82.1,256.4,241.62,78.5,73.77
1.3,89.85,83.35,259.54,244.6,79.64,74.88
1.4,91.07,84.51,262.45,247.34,80.69,75.92
1.5,92.21,85.59,265.16,249.89,81.66,76.87
1.6,93.26,86.59,267.68,252.26,82.56,77.77
1.7,94.25,87.52,270.04,254.48,83.4,78.6
1.8,95.17,88.4,272.26,256.56,84.19,79.38
1.9,96.04,89.22,274.35,258.51,84.93,80.11
2,96.85,89.99,276.33,260.35,85.62,80.81
2.1,97.62,90.72,278.2,262.09,86.27,81.46
2.2,98.35,91.41,279.97,263.73,86.89,82.07
2.3,99.05,92.06,281.66,265.29,87.48,82.66
2.4,99.7,92.67,283.27,266.77,88.03,83.21
2.5,100.33,93.26,284.8,268.17,88.55,83.74
2.6,100.92,93.82,286.26,269.51,89.05,84.24
2.7,101.49,94.35,287.66,270.79,89.52,84.72
2.8,102.03,94.85,288.99,272,89.97,85.17
2.9,102.54,95.34,290.28,273.17,90.4,85.61
3,103.04,95.8,291.5,274.28,90.81,86.02
3.1,103.51,96.24,292.68,275.34,91.2,86.42
3.2,103.96,96.66,293.81,276.36,91.57,86.8
3.3,104.39,97.06,294.9,277.33,91.93,87.16
3.4,104.81,97.45,295.95,278.27,92.27,87.51
3.5,105.21,97.81,296.96,279.16,92.59,87.84
3.6,105.59,98.17,297.93,280.02,92.9,88.16
3.7,105.96,98.51,298.87,280.85,93.2,88.47
3.8,106.31,98.83,299.77,281.64,93.49,88.77
3.9,106.65,99.15,300.64,282.4,93.76,89.05
4,106.98,99.45,301.48,283.13,94.02,89.32
4.1,107.3,99.74,302.29,283.84,94.27,89.58
4.2,107.6,100.01,303.07,284.51,94.51,89.84
4.3,107.89,100.28,303.83,285.16,94.74,90.08
4.4,108.17,100.53,304.56,285.79,94.96,90.31
4.5,108.44,100.78,305.27,286.39,95.18,90.54
4.6,108.7,101.02,305.95,286.97,95.38,90.75
4.7,108.96,101.24,306.61,287.53,95.58,90.96
4.8,109.2,101.46,307.25,288.07,95.76,91.16
4.9,109.43,101.67,307.87,288.58,95.94,91.35
5,109.66,101.87,308.47,289.08,96.12,91.54
5.1,109.88,102.07,309.05,289.56,96.28,91.72
5.2,110.09,102.26,309.61,290.02,96.44,91.89
5.3,110.29,102.44,310.15,290.46,96.59,92.06
5.4,110.48,102.61,310.67,290.89,96.74,92.22
5.5,110.67,102.77,311.18,291.29,96.88,92.37
5.6,110.85,102.93,311.68,291.69,97.01,92.52
5.7,111.03,103.09,312.15,292.07,97.14,92.66
5.8,111.2,103.23,312.61,292.43,97.26,92.8
5.9,111.36,103.38,313.06,292.78,97.38,92.93
6,111.52,103.51,313.49,293.11,97.49,93.06
6.1,111.67,103.64,313.91,293.44,97.6,93.19
6.2,111.82,103.77,314.31,293.74,97.7,93.3
6.3,111.96,103.89,314.71,294.04,97.8,93.42
6.4,112.09,104,315.09,294.32,97.9,93.53
6.5,112.22,104.11,315.45,294.6,97.99,93.63
6.6,112.35,104.22,315.81,294.86,98.07,93.74
6.7,112.47,104.32,316.15,295.1,98.15,93.83
