Age (years),Frontal bone male (mm),Frontal bone female (mm),Parietal bone male (mm),Parietal bone female (mm),Occipital bone male (mm),Occipital bone female (mm)
0,1.13,1.14,0.96,1,1.28,1.27
0.1,1.24,1.25,1.07,1.1,1.35,1.34
0.2,1.36,1.37,1.17,1.21,1.42,1.4
0.3,1.48,1.48,1.27,1.3,1.49,1.47
0.4,1.58,1.59,1.37,1.4,1.56,1.54
0.5,1.68,1.68,1.46,1.48,1.63,1.61
0.6,1.77,1.77,1.54,1.56,1.69,1.67
0.7,1.85,1.84,1.62,1.64,1.75,1.73
0.8,1.92,1.92,1.69,1.71,1.81,1.78
0.9,1.99,1.98,1.76,1.77,1.86,1.83
1,2.05,2.04,1.82,1.83,1.91,1.88
1.1,2.11,2.1,1.88,1.89,1.96,1.93
1.2,2.17,2.15,1.93,1.94,2,1.97
1.3,2.22,2.2,1.98,1.99,2.04,2.01
1.4,2.26,2.24,2.03,2.03,2.08,2.05
1.5,2.31,2.28,2.08,2.08,2.12,2.08
1.6,2.35,2.32,2.12,2.12,2.15,2.11
1.7,2.39,2.36,2.16,2.15,2.19,2.15
1.8,2.42,2.39,2.2,2.19,2.22,2.18
1.9,2.46,2.43,2.23,2.22,2.25,2.2
2,2.49,2.45,2.27,2.26,2.28,2.23
2.1,2.52,2.48,2.3,2.29,2.3,2.26
2.2,2.55,2.51,2.33,2.32,2.33,2.28
2.3,2.57,2.53,2.36,2.34,2.36,2.3
2.4,2.6,2.56,2.39,2.37,2.38,2.33
2.5,2.63,2.58,2.42,2.39,2.4,2.35
2.6,2.65,2.6,2.45,2.42,2.43,2.37
2.7,2.67,2.62,2.47,2.44,2.45,2.39
2.8,2.69,2.64,2.5,2.46,2.47,2.41
2.9,2.71,2.66,2.52,2.48,2.49,2.43
3,2.73,2.68,2.55,2.5,2.51,2.45
3.1,2.75,2.69,2.57,2.52,2.53,2.46
3.2,2.77,2.71,2.59,2.54,2.54,2.48
3.3,2.79,2.73,2.61,2.56,2.56,2.5
3.4,2.81,2.74,2.63,2.58,2.58,2.51
3.5,2.82,2.75,2.65,2.6,2.6,2.53
3.6,2.84,2.77,2.67,2.61,2.61,2.54
3.7,2.85,2.78,2.69,2.63,2.63,2.56
3.8,2.87,2.79,2.71,2.64,2.64,2.57
3.9,2.88,2.8,2.72,2.66,2.66,2.58
4,2.89,2.81,2.74,2.67,2.67,2.6
4.1,2.91,2.82,2.76,2.69,2.69,2.61
4.2,2.92,2.83,2.77,2.7,2.7,2.62
4.3,2.93,2.84,2.79,2.71,2.72,2.63
4.4,2.94,2.85,2.8,2.73,2.73,2.65
4.5,2.95,2.86,2.82,2.74,2.74,2.66
4.6,2.96,2.87,2.83,2.75,2.76,2.67
4.7,2.97,2.88,2.85,2.76,2.77,2.68
4.8,2.98,2.89,2.86,2.77,2.78,2.69
4.9,2.99,2.89,2.88,2.78,2.79,2.7
5,3,2.9,2.89,2.79,2.8,2.71
5.1,3.01,2.91,2.9,2.8,2.82,2.72
5.2,3.02,2.92,2.91,2.81,2.83,2.73
5.3,3.03,2.92,2.93,2.82,2.84,2.74
5.4,3.04,2.93,2.94,2.83,2.85,2.75
5.5,3.05,2.93,2.95,2.84,2.86,2.76
5.6,3.05,2.94,2.96,2.85,2.87,2.77
5.7,3.06,2.94,2.97,2.86,2.88,2.78
5.8,3.07,2.95,2.98,2.87,2.89,2.79
5.9,3.08,2.95,3,2.88,2.9,2.79
6,3.08,2.96,3.01,2.88,2.91,2.8
6.1,3.09,2.96,3.02,2.89,2.92,2.81
6.2,3.1,2.97,3.03,2.9,2.93,2.82
6.3,3.1,2.97,3.04,2.91,2.94,2.83
6.4,3.11,2.97,3.05,2.91,2.95,2.83
6.5,3.12,2.98,3.06,2.92,2.96,2.84
6.6,3.12,2.98,3.07,2.93,2.97,2.85
6.7,3.13,2.98,3.08,2.94,2.98,2.86
6.8,3.13,2.99,3.09,2.94,2.98,2.86
6.9,3.14,2.99,3.09,2.95,2.99,2.87
7,3.14,2.99,3.1,2.95,3,2.88
7.1,3.15,3,3.11,2.96,3.01,2.89
7.2,3.15,3,3.12,2.97,3.02,2.89
7.3,3.16,3,3.13,2.97,3.03,2.9
7.4,3.16,3,3.14,2.98,3.03,2.91
7.5,3.17,3.01,3.15,2.98,3.04,2.91
7.6,3.17,3.01,3.15,2.99,3.05,2.92
7.7,3.17,3.01,3.16,2.99,3.06,2.92
7.8,3.18,3.01,3.17,3,3.07,2.93
7.9,3.18,3.01,3.18,3,3.07,2.94
8,3.19,3.01,3.18,3.01,3.08,2.94
8.1,3.19,3.02,3.19,3.01,3.09,2.95
8.2,3.19,3.02,3.2,3.02,3.1,2.96
8.3,3.2,3.02,3.21,3.02,3.1,2.96
8.4,3.2,3.02,3.21,3.03,3.11,2.97
8.5,3.2,3.02,3.22,3.03,3.12,2.97
8.6,3.21,3.02,3.23,3.03,3.12,2.98
8.7,3.21,3.02,3.23,3.04,3.13,2.98
8.8,3.21,3.02,3.24,3.04,3.14,2.99
8.9,3.21,3.02,3.25,3.05,3.15,2.99
9,3.22,3.02,3.25,3.05,3.15,3
9.1,3.22,3.02,3.26,3.05,3.16,3.01
9.2,3.22,3.02,3.27,3.06,3.17,3.01
9.3,3.23,3.02,3.27,3.06,3.17,3.02
9.4,3.23,3.02,3.28,3.06,3.18,3.02
9.5,3.23,3.02,3.28,3.07,3.19,3.03
9.6,3.23,3.02,3.29,3.07,3.19,3.03
9.7,3.23,3.02,3.3,3.07,3.2,3.04
9.8,3.24,3.02,3.3,3.08,3.21,3.04
9.9,3.24,3.02,3.31,3.08,3.21,3.05
10,3.24,3.02,3.31,3.08,3.22,3.05
